ID,INFO
V2828,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: in oth spec activity"
V2829,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident: during unspec activity"
V283,"Motorcycle rider injured in noncollision transport accident, person injured while boarding or alighting"
V2830,"Motorcycle rider injured in noncollision transport accident, person injured while boarding or alighting: in sport activity"
V5672,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident: while wor"
V5673,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident: in oth ty"
V5674,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident: while res"
V5678,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident: in oth sp"
V5679,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, person on outside of vehicle injured in traffic accident: during un"
V569,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5690,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5691,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5692,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5693,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5694,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5698,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V5699,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle, unspecified occupant of pick-up truck or van injured in traffic acc"
V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object
V570,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident"
V5700,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: in sport activity"
V5701,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: in leisure activity"
V5702,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: while work for income"
V5703,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: in oth type work"
V5704,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: while resting..."
V5708,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: in oth spec activity"
V5709,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in nontraffic accident: during unspec activity"
V571,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident"
V5710,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: in sport activity"
V5711,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: in leisure activity"
V5712,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: while work for income"
V5713,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: in oth type work"
V5714,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: while resting..."
V5718,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: in oth spec activity"
V5719,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in nontraffic accident: during unspec activit"
V572,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident"
V5720,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: in"
V5721,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: in"
V5722,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: wh"
V5723,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: in"
V5724,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: wh"
V5728,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: in"
V5729,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in nontraffic accident: du"
V573,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5730,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5731,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5732,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5733,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V319,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3190,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3191,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3192,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3193,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3194,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3198,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V3199,"Occupant of three-wheeled motor vehicle injured in collision with pedal cycle, unspecified occupant of three-wheeled motor vehicle injured in traffic"
V32,Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel
V320,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident"
V3200,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: in sport activity"
V3201,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: in leisure activity"
V3202,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: while work for income"
V3203,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: in oth type work"
V3204,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: while resting..."
V3208,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: in oth spec activity"
V3209,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, driver injured in nontraffic accident: during unspec activity"
V321,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident"
V3210,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: in sport activity"
V3211,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: in leisure activity"
V3212,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: while work for income"
V3213,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: in oth type work"
V3214,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: while resting..."
V3218,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: in oth spec activity"
V3219,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, passenger injured in nontraffic accident: during unspec activit"
V322,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident"
V3220,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: in"
V3221,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: in"
V3222,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: wh"
V3223,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: in"
V3224,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: wh"
V3228,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: in"
V3229,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person on outside of vehicle injured in nontraffic accident: du"
V323,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3230,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3231,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3232,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3233,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3234,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3238,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V3239,"Occupant of 3-wheeled motor vehicle injured in collision with two- or three-wheel, unspec occupant of 3-wheeled motor vehicle injured in nontraffic ac"
V324,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person jnjured while boarding or alighting"
V3240,"Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheel, person jnjured while boarding or alighting: in sport activity"
V4093,"Car occupant injured in collision with pedestrian or animal, unspecified car occupant injured in traffic accident: in oth type work"
V4094,"Car occupant injured in collision with pedestrian or animal, unspecified car occupant injured in traffic accident: while resting..."
V4098,"Car occupant injured in collision with pedestrian or animal, unspecified car occupant injured in traffic accident: in oth spec activity"
V4099,"Car occupant injured in collision with pedestrian or animal, unspecified car occupant injured in traffic accident: during unspec activity"
V41,Car occupant injured in collision with pedal cycle
V410,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident"
V4100,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: in sport activity"
V4101,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: in leisure activity"
V4102,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: while work for income"
V4103,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: in oth type work"
V4104,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: while resting..."
V4108,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: in oth spec activity"
V4109,"Car occupant injured in collision with pedal cycle, driver injured in nontraffic accident: during unspec activity"
V411,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident"
V4110,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: in sport activity"
V4111,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: in leisure activity"
V4112,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: while work for income"
V4113,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: in oth type work"
V4114,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: while resting..."
V4118,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: in oth spec activity"
V4119,"Car occupant injured in collision with pedal cycle, passenger injured in nontraffic accident: during unspec activity"
V412,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident"
V4120,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: in sport activity"
V4121,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: in leisure activity"
V4122,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: while work for income"
V4123,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: in oth type work"
V4124,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: while resting..."
V4128,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: in oth spec activity"
V4129,"Car occupant injured in collision with pedal cycle, person on outside of vehicle injured in nontraffic accident: during unspec activity"
V413,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident"
V4130,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: in sport activity"
V4131,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: in leisure activity"
V4132,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: while work for income"
V4133,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: in oth type work"
V4134,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: while resting..."
V4138,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: in oth spec activity"
V4139,"Car occupant injured in collision with pedal cycle, unspecified car occupant injured in nontraffic accident: during unspec activity"
V414,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting"
V4140,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: in sport activity"
V4141,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: in leisure activity"
V4142,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: while work for income"
V4143,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: in oth type work"
V4144,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: while resting..."
V4148,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: in oth spec activity"
V4149,"Car occupant injured in collision with pedal cycle, person jnjured while boading or alighting: during unspec activity"
V415,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident"
V4150,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: in sport activity"
V4151,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: in leisure activity"
V4152,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: while work for income"
V4153,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: in oth type work"
V4154,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: while resting..."
V4158,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: in oth spec activity"
V4159,"Car occupant injured in collision with pedal cycle, driver injured in traffic accident: during unspec activity"
V2831,"Motorcycle rider injured in noncollision transport accident, person injured while boarding or alighting: in leisure activity"
V474,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting"
V4740,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: in sport activity"
V4741,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: in leisure activity"
V4742,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: while work for income"
V4743,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: in oth type work"
V4744,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: while resting..."
V4748,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: in oth spec activity"
V4749,"Car occupant injured in collision with fixed or stationary object, person jnjured while boading or alighting: during unspec activity"
V475,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"
V4750,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: in sport activity"
V4751,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: in leisure activity"
V4752,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: while work for income"
V4753,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: in oth type work"
V4754,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: while resting..."
V4758,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: in oth spec activity"
V4759,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident: during unspec activity"
V476,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"
V4760,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: in sport activity"
V4761,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: in leisure activity"
V4762,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: while work for income"
V4763,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth type work"
V4764,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: while resting..."
V4768,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth spec activity"
V4769,"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident: during unspec activity"
V477,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident"
V4770,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in sport activity"
V4771,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in leisure activity"
V4772,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: while work for income"
V4773,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in oth type work"
V4774,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: while resting..."
V4778,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in oth spec activity"
V4779,"Car occupant injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: during unspec activity"
V479,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"
V4790,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: in sport activity"
V4791,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: in leisure activity"
V4792,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: while work for income"
V4793,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: in oth type work"
V4794,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: while resting..."
V4798,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: in oth spec activity"
V4799,"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident: during unspec activity"
V48,Car occupant injured in noncollision transport accident
V480,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident"
V4800,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: in sport activity"
V4801,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: in leisure activity"
V4802,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: while work for income"
V4803,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: in oth type work"
V4804,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: while resting..."
V4808,"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident: in oth spec activity"
V5734,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5738,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V5739,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van jnjured in nontraf"
V574,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting"
V5740,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: in sport activity"
V5741,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: in leisure activity"
V5742,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: while work for inco"
V5743,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: in oth type work"
V5744,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: while resting..."
V5748,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: in oth spec activit"
V5749,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person jnjured while boarding or alighting: during unspec activ"
V575,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident"
V5750,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: in sport activity"
V5751,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: in leisure activity"
V5752,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: while work for income"
V5753,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: in oth type work"
V5754,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: while resting..."
V5758,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: in oth spec activity"
V5759,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, driver injured in traffic accident: during unspec activity"
V576,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident"
V5760,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: in sport activity"
V5761,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: in leisure activity"
V5762,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: while work for income"
V5763,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth type work"
V5764,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: while resting..."
V5768,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: in oth spec activity"
V5769,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, passenger injured in traffic accident: during unspec activity"
V577,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident"
V5770,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in sp"
V5771,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in le"
V5772,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: while"
V5773,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in ot"
V5774,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: while"
V5778,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: in ot"
V5779,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, person on outside of vehicle injured in traffic accident: durin"
V579,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic"
V5790,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic"
V5791,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic"
V5792,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic"
V5793,"Occupant of pick-up truck or van injured in collision with fixed or stationary object, unspecified occupant of pick-up truck or van injured in traffic"
